,Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,year
211,Kazakhstan,Central and Eastern Europe,54,5.919,,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,2.49325,2016
212,Moldova,Central and Eastern Europe,55,5.897,,0.69177,0.83132,0.52309,0.25202,0.01903,0.19997,3.38007,2016
213,Russia,Central and Eastern Europe,56,5.856,,1.23228,1.05261,0.58991,0.32682,0.03586,0.02736,2.59115,2016
214,Poland,Central and Eastern Europe,57,5.835,,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,2.20035,2016
215,South Korea,Eastern Asia,57,5.835,,1.35948,0.72194,0.88645,0.25168,0.07716,0.18824,2.35015,2016
216,Bolivia,Latin America and Caribbean,59,5.822,,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698,2.91635,2016
217,Lithuania,Central and Eastern Europe,60,5.813,,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,2.60525,2016
218,Belarus,Central and Eastern Europe,61,5.802,,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,2.38582,2016
219,North Cyprus,Western Europe,62,5.771,,1.31141,0.81826,0.84142,0.43596,0.16578,0.26322,1.93447,2016
220,Slovenia,Central and Eastern Europe,63,5.768,,1.29947,1.05613,0.79151,0.53164,0.03635,0.25738,1.79522,2016
221,Peru,Latin America and Caribbean,64,5.743,,0.99602,0.81255,0.62994,0.37502,0.05292,0.14527,2.73117,2016
222,Turkmenistan,Central and Eastern Europe,65,5.658,,1.08017,1.03817,0.44006,0.37408,0.28467,0.22567,2.21489,2016
223,Mauritius,Sub-Saharan Africa,66,5.648,,1.14372,0.75695,0.66189,0.46145,0.05203,0.36951,2.20223,2016
224,Libya,Middle East and Northern Africa,67,5.615,,1.06688,0.95076,0.52304,0.40672,0.10339,0.17087,2.39374,2016
225,Latvia,Central and Eastern Europe,68,5.56,,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445,2.20859,2016
226,Cyprus,Western Europe,69,5.546,,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906,2.04497,2016
227,Paraguay,Latin America and Caribbean,70,5.538,,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296,2.16091,2016
228,Romania,Central and Eastern Europe,71,5.528,,1.1697,0.72803,0.67602,0.36712,0.00679,0.12889,2.45184,2016
229,Estonia,Central and Eastern Europe,72,5.517,,1.27964,1.05163,0.68098,0.41511,0.18519,0.08423,1.81985,2016
230,Jamaica,Latin America and Caribbean,73,5.51,,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245,2.35682,2016
231,Croatia,Central and Eastern Europe,74,5.488,,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434,2.52462,2016
232,Hong Kong,Eastern Asia,75,5.458,,1.5107,0.87021,0.95277,0.48079,0.31647,0.40097,0.92614,2016
233,Somalia,Sub-Saharan Africa,76,5.44,,0,0.33613,0.11466,0.56778,0.3118,0.27225,3.83772,2016
234,Kosovo,Central and Eastern Europe,77,5.401,,0.90145,0.66062,0.54,0.14396,0.06547,0.27992,2.80998,2016
235,Turkey,Middle East and Northern Africa,78,5.389,,1.16492,0.87717,0.64718,0.23889,0.12348,0.04707,2.29074,2016
236,Indonesia,Southeastern Asia,79,5.314,,0.95104,0.87625,0.49374,0.39237,0.00322,0.56521,2.03171,2016
237,Jordan,Middle East and Northern Africa,80,5.303,,0.99673,0.86216,0.60712,0.36023,0.13297,0.14262,2.20142,2016
238,Azerbaijan,Central and Eastern Europe,81,5.291,,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,2.2735,2016
239,Philippines,Southeastern Asia,82,5.279,,0.81217,0.87877,0.47036,0.54854,0.11757,0.21674,2.23484,2016
240,China,Eastern Asia,83,5.245,,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959,2.17087,2016
241,Bhutan,Southern Asia,84,5.196,,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546,1.82916,2016
242,Kyrgyzstan,Central and Eastern Europe,85,5.185,,0.56044,0.95434,0.55449,0.40212,0.04762,0.38432,2.28136,2016
243,Serbia,Central and Eastern Europe,86,5.177,,1.03437,0.81329,0.6458,0.15718,0.04339,0.20737,2.27539,2016
244,Bosnia and Herzegovina,Central and Eastern Europe,87,5.163,,0.93383,0.64367,0.70766,0.09511,0,0.29889,2.48406,2016
245,Montenegro,Central and Eastern Europe,88,5.161,,1.07838,0.74173,0.63533,0.15111,0.12721,0.17191,2.25531,2016
246,Dominican Republic,Latin America and Caribbean,89,5.155,,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,1.69626,2016
247,Morocco,Middle East and Northern Africa,90,5.151,,0.84058,0.38595,0.59471,0.25646,0.08404,0.04053,2.94891,2016
248,Hungary,Central and Eastern Europe,91,5.145,,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,1.95473,2016
249,Pakistan,Southern Asia,92,5.132,,0.68816,0.26135,0.40306,0.14622,0.1388,0.31185,3.18286,2016
250,Lebanon,Middle East and Northern Africa,93,5.129,,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693,2.07339,2016
251,Portugal,Western Europe,94,5.123,,1.27607,0.94367,0.79363,0.44727,0.01521,0.11691,1.53015,2016
252,Macedonia,Central and Eastern Europe,95,5.121,,1.0193,0.78236,0.64738,0.27668,0.07047,0.23507,2.08947,2016
253,Vietnam,Southeastern Asia,96,5.061,,0.74037,0.79117,0.66157,0.55954,0.11556,0.25075,1.9418,2016
254,Somaliland Region,Sub-Saharan Africa,97,5.057,,0.25558,0.75862,0.33108,0.3913,0.36794,0.51479,2.43801,2016
255,Tunisia,Middle East and Northern Africa,98,5.045,,0.97724,0.43165,0.59577,0.23553,0.0817,0.03936,2.68413,2016
256,Greece,Western Europe,99,5.033,,1.24886,0.75473,0.80029,0.05822,0.04127,0,2.12944,2016
257,Tajikistan,Central and Eastern Europe,100,4.996,,0.48835,0.75602,0.53119,0.43408,0.13509,0.25998,2.39106,2016
258,Mongolia,Eastern Asia,101,4.907,,0.98853,1.08983,0.55469,0.35972,0.03285,0.34539,1.53586,2016
259,Laos,Southeastern Asia,102,4.876,,0.68042,0.5497,0.38291,0.52168,0.22423,0.43079,2.08637,2016
260,Nigeria,Sub-Saharan Africa,103,4.875,,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,2.88586,2016
261,Honduras,Latin America and Caribbean,104,4.871,,0.69429,0.75596,0.58383,0.26755,0.06906,0.2044,2.29551,2016
262,Iran,Middle East and Northern Africa,105,4.813,,1.11758,0.38857,0.64232,0.22544,0.0557,0.38538,1.99817,2016
263,Zambia,Sub-Saharan Africa,106,4.795,,0.61202,0.6376,0.23573,0.42662,0.11479,0.17866,2.58991,2016
264,Nepal,Southern Asia,107,4.793,,0.44626,0.69699,0.50073,0.37012,0.07008,0.3816,2.32694,2016
265,Palestinian Territories,Middle East and Northern Africa,108,4.754,,0.67024,0.71629,0.56844,0.17744,0.10613,0.11154,2.40364,2016
266,Albania,Central and Eastern Europe,109,4.655,,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,1.92816,2016
267,Bangladesh,Southern Asia,110,4.643,,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,2.60904,2016
268,Sierra Leone,Sub-Saharan Africa,111,4.635,,0.36485,0.628,0,0.30685,0.08196,0.23897,3.01402,2016
269,Iraq,Middle East and Northern Africa,112,4.575,,1.07474,0.59205,0.51076,0.24856,0.13636,0.19589,1.81657,2016
270,Namibia,Sub-Saharan Africa,113,4.574,,0.93287,0.70362,0.34745,0.48614,0.10398,0.07795,1.92198,2016
271,Cameroon,Sub-Saharan Africa,114,4.513,,0.52497,0.62542,0.12698,0.42736,0.06126,0.2268,2.5198,2016
272,Ethiopia,Sub-Saharan Africa,115,4.508,,0.29283,0.37932,0.34578,0.36703,0.1717,0.29522,2.65614,2016
273,South Africa,Sub-Saharan Africa,116,4.459,,1.02416,0.96053,0.18611,0.42483,0.08415,0.13656,1.64227,2016
274,Sri Lanka,Southern Asia,117,4.415,,0.97318,0.84783,0.62007,0.50817,0.07964,0.46978,0.91681,2016
275,India,Southern Asia,118,4.404,,0.74036,0.29247,0.45091,0.40285,0.08722,0.25028,2.18032,2016
276,Myanmar,Southeastern Asia,119,4.395,,0.34112,0.69981,0.3988,0.42692,0.20243,0.81971,1.50655,2016
277,Egypt,Middle East and Northern Africa,120,4.362,,0.95395,0.49813,0.52116,0.18847,0.10393,0.12706,1.96895,2016
278,Armenia,Central and Eastern Europe,121,4.36,,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,1.97864,2016
279,Kenya,Sub-Saharan Africa,122,4.356,,0.52267,0.7624,0.30147,0.40576,0.06686,0.41328,1.88326,2016
280,Ukraine,Central and Eastern Europe,123,4.324,,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363,1.50066,2016
281,Ghana,Sub-Saharan Africa,124,4.276,,0.63107,0.49353,0.29681,0.40973,0.0326,0.21203,2.2002,2016
282,Congo (Kinshasa),Sub-Saharan Africa,125,4.272,,0.05661,0.80676,0.188,0.15602,0.06075,0.25458,2.74924,2016
283,Georgia,Central and Eastern Europe,126,4.252,,0.83792,0.19249,0.64035,0.32461,0.3188,0.06786,1.87031,2016
284,Congo (Brazzaville),Sub-Saharan Africa,127,4.236,,0.77109,0.47799,0.28212,0.37938,0.09753,0.12077,2.10681,2016
285,Senegal,Sub-Saharan Africa,128,4.219,,0.44314,0.77416,0.40457,0.31056,0.11681,0.19103,1.97861,2016
286,Bulgaria,Central and Eastern Europe,129,4.217,,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793,1.15377,2016
287,Mauritania,Sub-Saharan Africa,130,4.201,,0.61391,0.84142,0.28639,0.1268,0.17955,0.22686,1.9263,2016
288,Zimbabwe,Sub-Saharan Africa,131,4.193,,0.35041,0.71478,0.1595,0.25429,0.08582,0.18503,2.4427,2016
289,Malawi,Sub-Saharan Africa,132,4.156,,0.08709,0.147,0.29364,0.4143,0.07564,0.30968,2.82859,2016
290,Sudan,Sub-Saharan Africa,133,4.139,,0.63069,0.81928,0.29759,0,0.10039,0.18077,2.10995,2016
291,Gabon,Sub-Saharan Africa,134,4.121,,1.15851,0.72368,0.3494,0.28098,0.09314,0.06244,1.45332,2016
292,Mali,Sub-Saharan Africa,135,4.073,,0.31292,0.86333,0.16347,0.27544,0.13647,0.21064,2.11087,2016
293,Haiti,Latin America and Caribbean,136,4.028,,0.34097,0.29561,0.27494,0.12072,0.14476,0.47958,2.37116,2016
294,Botswana,Sub-Saharan Africa,137,3.974,,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,0.96741,2016
295,Comoros,Sub-Saharan Africa,138,3.956,,0.27509,0.60323,0.29981,0.15412,0.18437,0.1827,2.25632,2016
296,Ivory Coast,Sub-Saharan Africa,139,3.916,,0.55507,0.57576,0.04476,0.40663,0.1553,0.20338,1.97478,2016
297,Cambodia,Southeastern Asia,140,3.907,,0.55604,0.5375,0.42494,0.58852,0.08092,0.40339,1.31573,2016
298,Angola,Sub-Saharan Africa,141,3.866,,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,2.09459,2016
299,Niger,Sub-Saharan Africa,142,3.856,,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097,2.09469,2016
300,South Sudan,Sub-Saharan Africa,143,3.832,,0.39394,0.18519,0.15781,0.19662,0.13015,0.25899,2.50929,2016
301,Chad,Sub-Saharan Africa,144,3.763,,0.42214,0.63178,0.03824,0.12807,0.04952,0.18667,2.30637,2016
302,Burkina Faso,Sub-Saharan Africa,145,3.739,,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353,1.87319,2016
303,Uganda,Sub-Saharan Africa,145,3.739,,0.34719,0.90981,0.19625,0.43653,0.06442,0.27102,1.51416,2016
304,Yemen,Middle East and Northern Africa,147,3.724,,0.57939,0.47493,0.31048,0.2287,0.05892,0.09821,1.97295,2016
305,Madagascar,Sub-Saharan Africa,148,3.695,,0.27954,0.46115,0.37109,0.13684,0.07506,0.2204,2.15075,2016
306,Tanzania,Sub-Saharan Africa,149,3.666,,0.47155,0.77623,0.357,0.3176,0.05099,0.31472,1.37769,2016
307,Liberia,Sub-Saharan Africa,150,3.622,,0.10706,0.50353,0.23165,0.25748,0.04852,0.24063,2.23284,2016
308,Guinea,Sub-Saharan Africa,151,3.607,,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2.15604,2016
309,Rwanda,Sub-Saharan Africa,152,3.515,,0.32846,0.61586,0.31865,0.5432,0.50521,0.23552,0.96819,2016
310,Benin,Sub-Saharan Africa,153,3.484,,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018,2.10812,2016
311,Afghanistan,Southern Asia,154,3.36,,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268,2.14558,2016
312,Togo,Sub-Saharan Africa,155,3.303,,0.28123,0,0.24811,0.34678,0.11587,0.17517,2.1354,2016
313,Syria,Middle East and Northern Africa,156,3.069,,0.74719,0.14866,0.62994,0.06912,0.17233,0.48397,0.81789,2016
314,Burundi,Sub-Saharan Africa,157,2.905,,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,2.10404,2016
315,Norway,,,,,,1.53352356,,0.635422587,,0.362012237,,2017
316,Denmark,,,,,,1.551121593,,0.626006722,,0.355280489,,2017
317,Iceland,,,,,,1.610574007,,0.627162635,,0.475540221,,2017
318,Switzerland,,,,,,1.516911745,,0.620070577,,0.290549278,,2017
319,Finland,,,,,,1.540246725,,0.617950857,,0.245482773,,2017
320,Netherlands,,,,,,1.428939223,,0.585384488,,0.47048983,,2017
321,Canada,,,,,,1.481348991,,0.611100912,,0.435539722,,2017
322,New Zealand,,,,,,1.548195124,,0.61406213,,0.500005126,,2017
323,Sweden,,,,,,1.478162169,,0.612924099,,0.385399252,,2017
324,Australia,,,,,,1.510041952,,0.601607382,,0.47769925,,2017
325,Israel,,,,,,1.376289964,,0.405988604,,0.330082655,,2017
326,Costa Rica,,,,,,1.416403651,,0.58013165,,0.214613229,,2017
327,Austria,,,,,,1.459944963,,0.56776619,,0.316472322,,2017
328,United States,,,,,,1.419920564,,0.505740523,,0.392578781,,2017
329,Ireland,,,,,,1.558231115,,0.573110342,,0.427858323,,2017
330,Germany,,,,,,1.472520351,,0.562511384,,0.33626917,,2017
331,Belgium,,,,,,1.462312698,,0.539770722,,0.231503338,,2017
332,Luxembourg,,,,,,1.457583666,,0.596627891,,0.283180982,,2017
333,United Kingdom,,,,,,1.49646008,,0.508190036,,0.492774159,,2017
334,Chile,,,,,,1.284024954,,0.376895279,,0.326662421,,2017
335,United Arab Emirates,,,,,,1.266410232,,0.60834527,,0.360941947,,2017
336,Brazil,,,,,,1.431306005,,0.437453747,,0.162349895,,2017
337,Czech Republic,,,,,,1.433885217,,0.490946174,,0.088106759,,2017
338,Argentina,,,,,,1.440451145,,0.494519204,,0.109457061,,2017
339,Mexico,,,,,,1.21086216,,0.412730008,,0.120990433,,2017
340,Singapore,,,,,,1.353814363,,0.549840569,,0.345965981,,2017
341,Malta,,,,,,1.488411665,,0.588767052,,0.574730575,,2017
342,Uruguay,,,,,,1.412227869,,0.579392254,,0.175096929,,2017
343,Guatemala,,,,,,1.255585194,,0.531310618,,0.283488393,,2017
344,Panama,,,,,,1.373192549,,0.550026834,,0.210556939,,2017
345,France,,,,,,1.387776852,,0.470222116,,0.129762307,,2017
346,Thailand,,,,,,1.425792456,,0.580200732,,0.57212311,,2017
347,Taiwan Province of China,,,,,,1.384565353,,0.361466587,,0.258360475,,2017
348,Spain,,,,,,1.532090902,,0.40878123,,0.190133572,,2017
349,Qatar,,,,,,1.27429688,,0.604130983,,0.33047387,,2017
350,Colombia,,,,,,1.402182937,,0.477487415,,0.149014473,,2017
351,Saudi Arabia,,,,,,1.286677599,,0.449750572,,0.147616014,,2017
352,Trinidad and Tobago,,,,,,1.380228519,,0.518630743,,0.325296462,,2017
353,Kuwait,,,,,,1.259698749,,0.496337593,,0.228289798,,2017
354,Slovakia,,,,,,1.505059242,,0.295817465,,0.136544481,,2017
355,Bahrain,,,,,,1.323110461,,0.536746919,,0.172668487,,2017
356,Malaysia,,,,,,1.284646034,,0.402264982,,0.41660893,,2017
357,Nicaragua,,,,,,1.28721571,,0.447551847,,0.301674217,,2017
358,Ecuador,,,,,,1.286168814,,0.455198199,,0.150112465,,2017
359,El Salvador,,,,,,1.182125092,,0.43245253,,0.078257985,,2017
360,Poland,,,,,,1.44571197,,0.520342112,,0.158465967,,2017
361,Uzbekistan,,,,,,1.54896915,,0.658248663,,0.415983647,,2017
362,Italy,,,,,,1.444923282,,0.256450713,,0.172789648,,2017
363,Russia,,,,,,1.469282389,,0.373783112,,0.052263822,,2017
364,Belize,,,,,,1.081417799,,0.547509372,,0.240015641,,2017
365,Japan,,,,,,1.436337829,,0.505625546,,0.120572768,,2017
366,Lithuania,,,,,,1.473516107,,0.234231785,,0.010164657,,2017
367,Algeria,,,,,,1.146217465,,0.233335808,,0.069436647,,2017
368,Latvia,,,,,,1.404714942,,0.325707912,,0.153074786,,2017
369,South Korea,,,,,,1.128274441,,0.257921666,,0.206674367,,2017
370,Moldova,,,,,,1.251825571,,0.240729049,,0.208779126,,2017
371,Romania,,,,,,1.15009129,,0.457003742,,0.133519918,,2017
372,Bolivia,,,,,,1.227619052,,0.558732927,,0.225560725,,2017
373,Turkmenistan,,,,,,1.493149161,,0.418271929,,0.249924988,,2017
374,Kazakhstan,,,,,,1.384369016,,0.437454283,,0.201964423,,2017
375,North Cyprus,,,,,,1.186303377,,0.471203625,,0.266845703,,2017
376,Slovenia,,,,,,1.452518821,,0.572575808,,0.242649093,,2017
377,Peru,,,,,,1.218770385,,0.450002879,,0.126819715,,2017
378,Mauritius,,,,,,1.20956099,,0.491247326,,0.360933751,,2017
379,Cyprus,,,,,,1.131363273,,0.355111539,,0.271254301,,2017
380,Estonia,,,,,,1.4766711,,0.47913143,,0.098890811,,2017
381,Belarus,,,,,,1.444945216,,0.295400262,,0.155137509,,2017
382,Libya,,,,,,1.35756433,,0.46573323,,0.152073666,,2017
383,Turkey,,,,,,1.337753177,,0.3007406,,0.046693042,,2017
384,Paraguay,,,,,,1.50728488,,0.473507792,,0.224150658,,2017
385,"Hong Kong S.A.R., China",,,,,,1.262790918,,0.490968645,,0.374465793,,2017
386,Philippines,,,,,,1.253917575,,0.585214674,,0.193513423,,2017
387,Serbia,,,,,,1.258189797,,0.208715528,,0.220125884,,2017
388,Jordan,,,,,,1.239088893,,0.418421149,,0.17217046,,2017
389,Hungary,,,,,,1.343133092,,0.175863519,,0.078401662,,2017
390,Jamaica,,,,,,1.368218064,,0.474307239,,0.233818337,,2017
391,Croatia,,,,,,0.967983007,,0.255772293,,0.248002976,,2017
392,Kosovo,,,,,,1.137853503,,0.260287941,,0.319931448,,2017
393,China,,,,,,1.160837412,,0.472787708,,0.028806841,,2017
394,Pakistan,,,,,,0.67269069,,0.235215262,,0.315446019,,2017
395,Indonesia,,,,,,1.274444699,,0.443323463,,0.611704588,,2017
396,Venezuela,,,,,,1.431337595,,0.153997123,,0.06501963,,2017
397,Montenegro,,,,,,1.238376498,,0.194989055,,0.197911024,,2017
398,Morocco,,,,,,0.774864435,,0.408158332,,0.032209955,,2017
399,Azerbaijan,,,,,,1.152400255,,0.398155838,,0.04526934,,2017
400,Dominican Republic,,,,,,1.402416706,,0.552589834,,0.18696785,,2017
401,Greece,,,,,,1.239414573,,0.095731251,,0,,2017
402,Lebanon,,,,,,1.129624248,,0.288515985,,0.264450759,,2017
403,Portugal,,,,,,1.367043018,,0.4984653,,0.095102713,,2017
404,Bosnia and Herzegovina,,,,,,1.069335938,,0.204403177,,0.328867495,,2017
405,Honduras,,,,,,1.143944979,,0.34807986,,0.236188874,,2017
406,Macedonia,,,,,,1.207893014,,0.325905979,,0.253760964,,2017
407,Somalia,,,,,,0.721151352,,0.602126956,,0.291631311,,2017
408,Vietnam,,,,,,1.277491331,,0.571055591,,0.234968051,,2017
409,Nigeria,,,,,,1.215770483,,0.394952565,,0.230947196,,2017
410,Tajikistan,,,,,,1.271463275,,0.471566707,,0.248997644,,2017
411,Bhutan,,,,,,1.340126514,,0.501537681,,0.474054545,,2017
412,Kyrgyzstan,,,,,,1.394238591,,0.454943389,,0.428580374,,2017
413,Nepal,,,,,,1.179283261,,0.440305948,,0.394096166,,2017
414,Mongolia,,,,,,1.493011236,,0.394143969,,0.33846423,,2017
415,South Africa,,,,,,1.384788632,,0.479246736,,0.13936238,,2017
416,Tunisia,,,,,,0.86835146,,0.28968069,,0.049693357,,2017
417,Palestinian Territories,,,,,,1.155647159,,0.254711062,,0.114173174,,2017
418,Egypt,,,,,,0.997471392,,0.282110155,,0.128631443,,2017
419,Bulgaria,,,,,,1.434379458,,0.289231718,,0.113177694,,2017
420,Sierra Leone,,,,,,0.984136045,,0.318697691,,0.293040901,,2017
421,Cameroon,,,,,,0.946018219,,0.430388749,,0.236298457,,2017
422,Iran,,,,,,0.711551249,,0.249322608,,0.387242913,,2017
423,Albania,,,,,,0.803685248,,0.381498635,,0.201312944,,2017
424,Bangladesh,,,,,,0.735131741,,0.478356659,,0.172255352,,2017
425,Namibia,,,,,,1.098470807,,0.520303547,,0.077133745,,2017
426,Kenya,,,,,,1.067950726,,0.452763766,,0.444860309,,2017
427,Mozambique,,,,,,0.870701015,,0.480791092,,0.322228104,,2017
428,Myanmar,,,,,,1.123235941,,0.514492035,,0.838075161,,2017
429,Senegal,,,,,,1.179691911,,0.377922267,,0.183468893,,2017
430,Zambia,,,,,,1.003187299,,0.461603492,,0.249580145,,2017
431,Iraq,,,,,,0.978613198,,0.288555533,,0.199637264,,2017
432,Gabon,,,,,,1.155620217,,0.312328577,,0.043785378,,2017
433,Ethiopia,,,,,,0.864669204,,0.408842742,,0.31265074,,2017
434,Sri Lanka,,,,,,1.259976387,,0.561213255,,0.490863562,,2017
435,Armenia,,,,,,1.007483721,,0.198303267,,0.083488092,,2017
436,India,,,,,,0.754372597,,0.469987005,,0.231538489,,2017
437,Mauritania,,,,,,1.27203083,,0.096098043,,0.201870024,,2017
438,Congo (Brazzaville),,,,,,0.832044363,,0.435025871,,0.120852128,,2017
439,Georgia,,,,,,0.570614934,,0.309410036,,0.054008815,,2017
440,Congo (Kinshasa),,,,,,1.229023457,,0.235961348,,0.246455833,,2017
441,Mali,,,,,,1.281473398,,0.306613743,,0.183354199,,2017
442,Ivory Coast,,,,,,0.90478003,,0.447706193,,0.20123747,,2017
443,Cambodia,,,,,,1.006238341,,0.633375823,,0.385922968,,2017
444,Sudan,,,,,,1.21400857,,0.014995855,,0.182317451,,2017
445,Ghana,,,,,,0.873664737,,0.423026294,,0.256923944,,2017
446,Ukraine,,,,,,1.394537568,,0.122974776,,0.270061463,,2017
447,Uganda,,,,,,1.129827738,,0.443185955,,0.325766057,,2017
448,Burkina Faso,,,,,,1.043280005,,0.324367851,,0.250864685,,2017
449,Niger,,,,,,0.993025005,,0.363658696,,0.228673846,,2017
450,Malawi,,,,,,0.512568831,,0.466914654,,0.28717047,,2017
451,Chad,,,,,,0.953855872,,0.162342027,,0.21611385,,2017
452,Zimbabwe,,,,,,1.083095908,,0.336384207,,0.189143494,,2017
453,Lesotho,,,,,,1.190095186,,0.390661299,,0.157497272,,2017
454,Angola,,,,,,1.10441196,,0,,0.09792649,,2017
455,Afghanistan,,,,,,0.581543326,,0.10617952,,0.311870933,,2017
456,Botswana,,,,,,1.221554995,,0.505196333,,0.099348448,,2017
457,Benin,,,,,,0.435299844,,0.425962776,,0.207948461,,2017
458,Madagascar,,,,,,0.913020372,,0.189196765,,0.20873253,,2017
459,Haiti,,,,,,0.640449822,,0.030369857,,0.489203781,,2017
460,Yemen,,,,,,0.935382247,,0.249463722,,0.104125209,,2017
461,South Sudan,,,,,,0.601323128,,0.147062436,,0.285670817,,2017
462,Liberia,,,,,,0.872117937,,0.332881182,,0.266549885,,2017
463,Guinea,,,,,,0.791244686,,0.348587513,,0.264815092,,2017
464,Togo,,,,,,0.43188253,,0.380426139,,0.196896151,,2017
465,Rwanda,,,,,,0.945707023,,0.581843853,,0.252756029,,2017
466,Syria,,,,,,0.396102607,,0.081539445,,0.493663728,,2017
467,Tanzania,,,,,,1.041989803,,0.390017778,,0.354256362,,2017
468,Burundi,,,,,,0.629793584,,0.059900753,,0.204435185,,2017
469,Central African Republic,,,,,,0,,0.270842046,,0.280876487,,2017
470,,,,,,,,,,,0.202,,2018
471,,,,,,,,,,,0.286,,2018
472,,,,,,,,,,,0.284,,2018
473,,,,,,,,,,,0.353,,2018
474,,,,,,,,,,,0.256,,2018
475,,,,,,,,,,,0.333,,2018
476,,,,,,,,,,,0.321,,2018
477,,,,,,,,,,,0.365,,2018
478,,,,,,,,,,,0.285,,2018
479,,,,,,,,,,,0.361,,2018
480,,,,,,,,,,,0.262,,2018
481,,,,,,,,,,,0.242,,2018
482,,,,,,,,,,,0.143,,2018
483,,,,,,,,,,,0.307,,2018
484,,,,,,,,,,,0.273,,2018
485,,,,,,,,,,,0.188,,2018
486,,,,,,,,,,,0.196,,2018
487,,,,,,,,,,,0.291,,2018
488,,,,,,,,,,,0.354,,2018
489,,,,,,,,,,,0.186,,2018
490,,,,,,,,,,,0.064,,2018
491,,,,,,,,,,,0.376,,2018
492,,,,,,,,,,,0.098,,2018
493,,,,,,,,,,,0.069,,2018
494,,,,,,,,,,,0.197,,2018
495,,,,,,,,,,,0.151,,2018
496,,,,,,,,,,,0.125,,2018
497,,,,,,,,,,,0.11,,2018
498,,,,,,,,,,,0.062,,2018
499,,,,,,,,,,,0.179,,2018
500,,,,,,,,,,,0.13,,2018
501,,,,,,,,,,,0.256,,2018
502,,,,,,,,,,,0.098,,2018
503,,,,,,,,,,,0.261,,2018
504,,,,,,,,,,,0.311,,2018
505,,,,,,,,,,,0.142,,2018
506,,,,,,,,,,,0.099,,2018
507,,,,,,,,,,,0.171,,2018
508,,,,,,,,,,,0.118,,2018
509,,,,,,,,,,,0.065,,2018
510,,,,,,,,,,,0.208,,2018
511,,,,,,,,,,,0.108,,2018
512,,,,,,,,,,,0.243,,2018
513,,,,,,,,,,,0.328,,2018
514,,,,,,,,,,,0.167,,2018
515,,,,,,,,,,,0.364,,2018
516,,,,,,,,,,,0.137,,2018
517,,,,,,,,,,,0.114,,2018
518,,,,,,,,,,,0.183,,2018
519,,,,,,,,,,,0.026,,2018
520,,,,,,,,,,,0.16,,2018
521,,,,,,,,,,,0.088,,2018
522,,,,,,,,,,,0.092,,2018
523,,,,,,,,,,,0.079,,2018
524,,,,,,,,,,,0.245,,2018
525,,,,,,,,,,,0.096,,2018
526,,,,,,,,,,,0.175,,2018
527,,,,,,,,,,,0.179,,2018
528,,,,,,,,,,,0.065,,2018
529,,,,,,,,,,,0.148,,2018
530,,,,,,,,,,,0.202,,2018
531,,,,,,,,,,,0.141,,2018
532,,,,,,,,,,,0.086,,2018
533,,,,,,,,,,,0.162,,2018
534,,,,,,,,,,,0.092,,2018
535,,,,,,,,,,,0.274,,2018
536,,,,,,,,,,,0.171,,2018
537,,,,,,,,,,,0.199,,2018
538,,,,,,,,,,,0.061,,2018
539,,,,,,,,,,,0.116,,2018
540,,,,,,,,,,,0.12,,2018
541,,,,,,,,,,,0.197,,2018
542,,,,,,,,,,,0.101,,2018
543,,,,,,,,,,,0.106,,2018
544,,,,,,,,,,,0.216,,2018
545,,,,,,,,,,,0.246,,2018
546,,,,,,,,,,,0.055,,2018
547,,,,,,,,,,,0.134,,2018
548,,,,,,,,,,,0,,2018
549,,,,,,,,,,,0.214,,2018
550,,,,,,,,,,,0.111,,2018
551,,,,,,,,,,,0.12,,2018
